CATALOG_BRAND,LAST_COMPLETED_WEEK_START,REV_WK_5,REV_WK_4,REV_WK_3,REV_WK_2,REV_WK_1,REV_WK_0,UNITS_WK_5,UNITS_WK_4,UNITS_WK_3,UNITS_WK_2,UNITS_WK_1,UNITS_WK_0,LAST_WEEK_REV,LAST_WEEK_UNITS,LAST_WEEK_REV_YOY,LAST_WEEK_UNITS_YOY,LAST_WEEK_REV_YOY_PCT,LAST_WEEK_UNITS_YOY_PCT,YTD_REV,YTD_UNITS,YTD_REV_YOY,YTD_UNITS_YOY,YTD_REV_YOY_PCT,YTD_UNITS_YOY_PCT,FCST_13W_UNITS_TOTAL_IM,FCST_13W_UNITS_RUN_RATE_IM,FCST_13W_UNITS_RUN_RATE_YOY_IM,FCST_13W_UNITS_RUN_RATE_YOY_PCT_IM,FCST_13W_UNITS_TOTAL_AE,FCST_13W_UNITS_RUN_RATE_AE,FCST_13W_UNITS_RUN_RATE_YOY_AE,FCST_13W_UNITS_RUN_RATE_YOY_PCT_AE,INVENTORY_UNITS,INVENTORY_VALUE_USD,WOS_WEEKS_IM,WOS_WEEKS_AE
True Classic Tees,2026-03-15,77,0,38,152,76,76,1,0,1,3,2,1,76,1,"18,762",237,-100%,-100%,"1,288",21,"132,905","1,764",-99%,-99%,89,7,442,-98%,0,0,442,-100%,226,"2,883",33,
PureHealth Research,2026-03-15,470,47,47,0,0,0,10,1,1,0,0,0,0,0,"59,888","1,245",-100%,-100%,941,20,"558,517","11,599",-100%,-100%,0,0,737,-100%,0,0,737,-100%,1,32,,
LUXPRO,2026-03-15,13,65,48,15,65,28,1,5,3,1,2,2,28,2,"14,379",746,-100%,-100%,301,19,"170,969","9,262",-100%,-100%,159,12,702,-98%,0,0,702,-100%,67,676,5,
Hydro Flask,2026-03-15,0,0,0,0,189,409,0,0,0,0,6,11,409,11,0,0,,,598,17,0,0,,,93,7,,,0,0,,,217,"4,794",30,
Best Nest Wellness,2026-03-15,105,38,0,32,0,32,3,1,0,1,0,1,32,1,"62,396","1,639",-100%,-100%,597,16,"723,233","18,679",-100%,-100%,"19,836","1,526","1,665",-8%,0,0,"1,665",-100%,95,"2,325",0,
Philips Avent,2026-03-15,0,100,350,0,147,95,0,2,7,0,3,2,95,2,"2,754",108,-97%,-98%,742,15,"15,869",706,-95%,-98%,"1,304",100,26,282%,0,0,26,-100%,253,"8,112",3,
FPX-AIR,2026-03-15,0,0,0,155,80,0,0,0,0,2,1,1,0,1,130,2,-100%,-50%,576,9,"1,645",21,-65%,-57%,27,2,2,-3%,0,0,2,-100%,392,"15,557",188,
H2Ocean,2026-03-15,0,26,40,0,0,10,0,2,3,0,0,1,10,1,70,6,-86%,-83%,101,8,822,67,-88%,-88%,0,0,2,-99%,0,0,2,-100%,53,334,"1,786",
CG Mobile,2026-03-15,0,0,40,0,0,0,0,0,1,0,0,0,0,0,56,1,-100%,-100%,310,7,"1,106",20,-72%,-65%,7,1,1,-32%,0,0,1,-100%,11,134,19,
HairMax,2026-03-15,0,0,379,0,379,0,0,0,1,0,1,0,0,0,"1,076",16,-100%,-100%,"3,673",7,"88,897",524,-96%,-99%,0,0,3,-99%,0,0,3,-100%,1,236,51,
