CATALOG_BRAND,LAST_COMPLETED_WEEK_START,REV_WK_5,REV_WK_4,REV_WK_3,REV_WK_2,REV_WK_1,REV_WK_0,UNITS_WK_5,UNITS_WK_4,UNITS_WK_3,UNITS_WK_2,UNITS_WK_1,UNITS_WK_0,LAST_WEEK_REV,LAST_WEEK_UNITS,LAST_WEEK_REV_YOY,LAST_WEEK_UNITS_YOY,LAST_WEEK_REV_YOY_PCT,LAST_WEEK_UNITS_YOY_PCT,YTD_REV,YTD_UNITS,YTD_REV_YOY,YTD_UNITS_YOY,YTD_REV_YOY_PCT,YTD_UNITS_YOY_PCT,FCST_13W_UNITS_TOTAL_IM,FCST_13W_UNITS_RUN_RATE_IM,FCST_13W_UNITS_RUN_RATE_YOY_IM,FCST_13W_UNITS_RUN_RATE_YOY_PCT_IM,FCST_13W_UNITS_TOTAL_AE,FCST_13W_UNITS_RUN_RATE_AE,FCST_13W_UNITS_RUN_RATE_YOY_AE,FCST_13W_UNITS_RUN_RATE_YOY_PCT_AE,INVENTORY_UNITS,INVENTORY_VALUE_USD,WOS_WEEKS_IM,WOS_WEEKS_AE
Concept Labs,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,95,7,,,0,0,,,0,0,0,
Contingency - Seller Investigators,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,0,0,,,0,0,,
Contingency Obsolescence,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,0,0,,,0,0,,
Converse,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,0,0,,,0,0,,
Coravin,2026-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,"3,120",60,-100%,-100%,0,0,3,-100%,0,0,3,-100%,35,450,,
Cordaroy's,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,0,0,,,0,0,,
Crafter's Companion,2026-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,1,0,,,0,0,,,0,0,0,
Cuisinart,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,0,0,,,0,0,0,
Cure Hydration,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,3,0,,,0,0,,,0,0,0,
Cycle Crew,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,4,0,,,0,0,,,0,0,0,
DOK,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,11,1,,,0,0,,,0,0,0,
Dash,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,1,0,,,0,0,,,0,0,0,
Defyned Brands,2026-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,63,5,,,0,0,,,0,0,0,
Derive,2026-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,2,0,,,0,0,,,103,"30,210",694,
DermaCare,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,0,0,,,0,0,,
Designs For Health,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,0,0,,,0,0,,
Dickies,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,10,1,,,0,0,,,12,237,16,
Diversey,2026-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,73,6,,,0,0,,,0,0,0,
Dough Guy,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,0,0,,,0,0,0,
Dr Emil Nutrition,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,0,0,,,0,0,,
Dr. Bronner's,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,0,0,,,0,0,0,
Drift,2026-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,031",13,-100%,-100%,0,0,"12,366",78,-100%,-100%,2,0,6,-98%,0,0,6,-100%,0,0,0,
Drylock-Presto,2026-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,0,0,,,0,0,,
ES Originals,2026-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,0,0,,,0,0,,
EVO,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,0,0,,,0,0,,
Earthkind,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,0,0,,,0,0,,
Easy To Use Products,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,2,0,,,0,0,,,0,0,0,
Emergency Zone,2026-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,30,1,-100%,-100%,0,0,,,0,0,,,0,0,,
Encompass Pets,2026-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,4,-100%,-100%,0,0,"4,731",161,-100%,-100%,982,76,0,"49,024%",0,0,0,-100%,0,0,0,
Equelle,2026-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"9,528",173,-100%,-100%,0,0,"104,684","1,821",-100%,-100%,0,0,177,-100%,0,0,177,-100%,0,0,,
Equip,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,3,0,,,0,0,,,0,0,0,
F.M. Brown's,2026-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,0,0,,,1,5,,
FeelGood Superfoods,2026-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,"151,591","7,728",-100%,-100%,1,0,,,0,0,,,0,0,0,
Fissler,2026-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,"6,331",43,-100%,-100%,95,7,1,"1,252%",0,0,1,-100%,0,0,0,
Fizz & Bubble,2026-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,0,0,,,0,0,,
Forever 21 - Brands Unlimited,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,805,62,,,0,0,,,0,0,0,
GEFU,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,0,0,,,0,0,,
Global Healing,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,0,0,,,0,0,0,
God Is My Guide,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,109,8,,,0,0,,,103,"1,834",12,
Goddess Garden,2026-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,0,0,,,0,0,,
Goodyear Belts,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,0,0,,,0,0,,
Gorilla Mind,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,12,1,,,0,0,,,0,0,0,
Hagen Group,2026-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,"8,162",62,-100%,-100%,0,0,0,-96%,0,0,0,-100%,2,101,202,
Havasu Nutrition,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,14,1,,,0,0,,,0,0,0,
Health Concerns,2026-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,0,0,,,0,0,0,
Health Harmony,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,12,1,,,0,0,,,0,0,0,
Healthcare Logix Systems,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,0,0,,,0,0,,
Herbal Brands,2026-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,78,2,-100%,-100%,163,13,,,0,0,,,0,0,0,
Herman Kay,2026-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,0,0,,,0,0,,
Hero Cosmetics,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,0,0,,,0,0,0,
Hiyo,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,1,0,,,0,0,,,0,0,0,
Hohm,2026-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,175,7,-100%,-100%,97,7,0,"4,736%",0,0,0,-100%,0,0,0,
Honu,2026-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,0,0,,,0,0,,
Hunt a Killer,2026-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,29,1,-100%,-100%,0,0,5,-100%,0,0,5,-100%,4,57,202,
HydroJug,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,1,0,,,0,0,,,0,0,0,
IM-21,2026-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,0,0,,,0,0,,
ITW Canada,2026-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,1,-100%,-100%,0,0,180,2,-100%,-100%,69,5,2,231%,0,0,2,-100%,0,0,0,
ITW Global Tire Repair,2026-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,3,0,,,0,0,,,1,0,4,
Inflatabull,2026-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,0,0,,,4,216,,
JAKTRX,2026-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,0,0,,,0,0,,
JDE,2026-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,0,0,,,0,0,,
JWC,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,526,40,,,0,0,,,0,0,0,
Jacked Factory,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,14,1,,,0,0,,,0,0,0,
Jacob Bar,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,3,0,,,0,0,,,0,0,0,
John Masters Organics,2026-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,0,0,,,0,0,,
K&N,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,0,0,,,0,0,,
KONG H2O,2026-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,0,0,,,0,0,,
KONG HandiPod,2026-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,0,0,,,0,0,0,
Kailo Labs,2026-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,1,0,,,0,0,,,0,0,0,
Kano Laboratories,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,0,0,,,0,0,,
KaraMD,2026-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,0,0,,,4,179,,
Keenz Stroller Wagons,2026-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,0,0,,,0,0,,
Kiyomi Skin,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,1,0,,,0,0,,,0,0,0,
LMNT,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,1,0,,,0,0,,,0,0,0,
Lansinoh,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,0,0,,,1,0,51,
Leatherman,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,0,0,,,0,0,,
Left Coast Performance,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,6,0,,,0,0,,,0,0,0,
Liberty Hardware,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,0,0,,,0,0,,
Licks,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,0,0,,,0,0,,
Life Time Health,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,0,0,,,0,0,,
LifeSeasons,2026-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,402,31,,,0,0,,,109,"1,944",4,
Lifescan,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,0,0,,,0,0,,
Linen Market,2026-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,81,4,-100%,-100%,16,1,1,-6%,0,0,1,-100%,16,277,13,
Lipault,2026-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,0,0,,,0,0,,
Litter Genie,2026-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,2,-100%,0,0,2,-100%,117,"1,561",,
Lockin,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,1,0,,,0,0,,,0,0,0,
London Fog,2026-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,0,0,,,0,0,0,
Long Life Food Safety Products,2026-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,0,0,,,0,0,,
Lume,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,21,2,,,0,0,,,6,0,4,
Lumie,2026-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,576,4,-100%,-100%,0,0,,,0,0,,,0,0,,
M3 Naturals,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,9,1,,,0,0,,,0,0,0,
MaryRuth Organics,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,0,0,,,0,0,0,
Master Cutlery,2026-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,1,0,,,0,0,,,0,0,0,
Maven Lane,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,52,4,,,0,0,,,0,0,0,
Mechanix,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,0,0,,,0,0,,
Miko,2026-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,0,0,,,7,438,,
Miss Kay,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,2,0,,,0,0,,,0,0,0,
Mixhers,2026-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,642",106,-100%,-100%,0,0,"66,406","2,084",-100%,-100%,0,0,16,-100%,0,0,16,-100%,18,285,"1,820",
Momentous,2026-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,54,-100%,-100%,0,0,230,129,-100%,-100%,"1,127",87,185,-53%,0,0,185,-100%,0,0,0,
Mommy Knows Best,2026-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,0,0,,,0,0,,
Mommy's Bliss,2026-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,0,0,,,0,0,,
NAK Hair,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,13,1,,,0,0,,,11,29,11,
NLA for Her,2026-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,0,0,,,0,0,,
National Tree Company,2026-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,10,1,,,0,0,,,0,0,0,
Natreve,2026-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,0,0,,,0,0,,
Natrol,2026-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,0,0,,,0,0,,
Natural Dog,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,4,0,,,0,0,,,0,0,0,
Nature's Sunshine,2026-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,3,0,,,0,0,,,3,34,15,
Nello,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,7,1,,,0,0,,,0,0,0,
Nelsons,2026-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,1,-100%,-100%,0,0,34,1,-100%,-100%,0,0,0,-94%,0,0,0,-100%,0,0,0,
NeoCell,2026-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,0,0,,,0,0,,
Nesugar,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,0,0,,,0,0,0,
No Partner,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,0,0,,,0,0,,
Norberg & Linden,2026-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,0,0,,,0,0,,
NutraSea,2026-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,4,0,,,0,0,,,0,0,0,
Nutrex Hawaii,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,0,0,,,0,0,,
NutriCology,2026-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,0,0,,,0,0,0,
Nutricost,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,212,16,,,0,0,,,6,0,0,
Objective,2026-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,0,0,,,0,0,,
Olipop,2026-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,0,0,,,0,0,0,
Omron,2026-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,0,0,,,2,119,,
Onegevity,2026-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,0,0,,,0,0,,
Onnit,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,6,0,,,0,0,,,0,0,0,
Orbit,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,0,0,,,2,0,,
Ori Lab,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,4,0,,,0,0,,,0,0,0,
Other,2026-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,11,2,-100%,-100%,6,0,0,196%,0,0,0,-100%,0,0,0,
Otherland,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,0,0,,,0,0,,
Owlet,2026-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,1,0,,,0,0,,,9,0,182,
PEM,2026-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,0,0,,,0,0,,
PROBAR,2026-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,0,0,,,0,0,,
Panasonic - Aisle Shop,2026-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,0,0,,,0,0,,
Performance Brands,2026-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,192,15,,,0,0,,,1,15,0,
Perricone MD,2026-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,0,0,,,0,0,,
PetAg,2026-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,215,6,-100%,-100%,0,0,,,0,0,,,14,123,708,
PetSafe,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,0,0,,,0,0,,
Peter Thomas Roth,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,10,1,,,0,0,,,0,0,0,
Petsafe,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,28,2,,,0,0,,,2,0,1,
Philips,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,0,0,,,0,0,,
PhoneSoap,2026-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,0,0,,,10,65,,
Plus Ultra,2026-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,0,0,,,0,0,,
Post Consumer Brands,2026-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,0,0,,,0,0,,
Premier Research Labs,2026-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,11,1,,,0,0,,,1,17,1,
Pupford,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,16,1,,,0,0,,,0,0,0,
PurposeBuilt Brands,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,7,1,,,0,0,,,65,304,122,
Qemp,2026-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,0,0,,,0,0,0,
Quantum Nutrition Labs,2026-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,0,0,,,0,0,,
Quip,2026-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,651,50,,,0,0,,,1,14,0,
ROH,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,2,0,,,0,0,,,0,0,0,
Racor,2026-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,0,0,,,0,0,0,
Rae Wellness,2026-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,0,-87%,0,0,0,-100%,0,0,0,
Rainbow Light,2026-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,0,0,,,0,0,,
Raw Green Organics,2026-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,0,0,,,0,0,,
RealTruck,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,0,0,,,0,0,,
Reckitt Benckiser - Health,2026-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,1,-100%,-100%,0,0,"11,002",260,-100%,-100%,0,0,1,-98%,0,0,1,-100%,1,5,101,
Reebok,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,4,0,,,0,0,,,0,0,0,
Reebok - Original Fit Factory,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,4,0,,,0,0,,,0,0,0,
Rejuvenate,2026-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,0,0,,,0,0,,
Rhone,2026-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,0,0,,,0,0,,
Rituals,2026-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,45,3,-100%,-100%,1,0,0,-36%,0,0,0,-100%,1,18,20,
Rocketfish,2026-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,745,13,-100%,-100%,0,0,"66,203","1,287",-100%,-100%,125,10,2,524%,0,0,2,-100%,0,0,0,
Roxy - The Levy Group,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,58,4,,,0,0,,,"1,783","21,322",401,
Saint James Iced Tea,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,2,0,,,0,0,,,0,0,0,
Sashco,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,0,0,,,3,0,,
Senic,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,0,0,,,0,0,,
Shaklee,2026-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,0,0,,,0,0,,
Signal Relief,2026-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,0,0,,,130,"1,507",,
Skullcandy,2026-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,0,0,,,0,0,,
Slim-sation,2026-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,90,7,,,0,0,,,1,35,0,
Snow,2026-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,2,-100%,-100%,0,0,"1,579",49,-100%,-100%,0,0,2,-100%,0,0,2,-100%,2,29,,
Snow Peak,2026-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,36,3,-100%,-100%,21,2,0,"1,997%",0,0,0,-100%,0,0,0,
Snuggle Glove,2026-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,0,0,,,0,0,,
Solara,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,0,0,,,0,0,,
Solely,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,16,1,,,0,0,,,0,0,0,
Solgar,2026-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,0,0,,,0,0,,
Spark Innovation,2026-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,252,19,,,0,0,,,0,0,0,
